"RijschoolNaam"," Telefoonnummer"," Email"," Website","ZB Status","ZB Sub status","ZB Account","ZB Domain","ZB First Name","ZB Last Name","ZB Gender","ZB Free Email","ZB MX Found","ZB MX Record","ZB SMTP Provider","ZB Did You Mean","ZB Last Known Activity","ZB Activity Data Count","ZB Activity Data Types","ZB Activity Data Channels"
"ANWB Rijopleidingen","None","amsterdam@anwb-rijopleiding.nl","http://www.anwb-rijopleiding.nl/","catch-all","","amsterdam","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Autorijschool 'Onbeperkt In Beweging'","None","rijschool@onbeperktinbeweging.nl","http://www.onbeperktinbeweging.nl/","catch-all","","rijschool","onbeperktinbeweging.nl","","","","False","true","mx103.solcon.nl","","","","","",""
"Rijschool Rishen","053 476 24 90","rjagai@hotmail.nl","None","catch-all","","rjagai","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Stichting Revalidatiecentrum Roessingh","053 487 5356","rijschool@roessingh.nl","https://www.roessingh.nl/","catch-all","","rijschool","roessingh.nl","","","","False","true","filter10.antispamcloud.com","","","","","",""
"Firma Autorijschool Relker","0547 36 16 16","relker@relker.nl","http://www.relker.nl/","catch-all","","relker","relker.nl","","","","False","true","mx.spamexperts.com","spamexperts","","","","",""
"Auto- en motorrijschool www.rvv.nl","06 54 77 07 70","ik-wil-rijles@rvv.nl","http://www.rvv.nl/","catch-all","","ik-wil-rijles","rvv.nl","","","","False","true","mx.transip.email","","","","","",""
"Autorijschool Anass","06 27 39 97 59","zanzen@hotmail.nl","None","catch-all","","zanzen","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Autorijschool Ed Smit","036 751 80 20","ed.smit@lesgo.nl","None","catch-all","","ed.smit","lesgo.nl","ed","smit","male","False","true","mx1.cloudorb.com","","","","","",""
"Autorijschool Elderhorst","023 562 06 46","ronaldelderhorst@hotmail.nl","http://www.autorijschoolelderhorst.nl/","catch-all","","ronaldelderhorst","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Rijschool InterFocus","023 561 19 78","mike@interfocusrijschool.nl","None","catch-all","","mike","interfocusrijschool.nl","","","","False","true","interfocusrijschool.nl","","","","","",""
"Rijschool Hermen","054 854 10 95","hermen@rijschoolhermen.nl","http://www.rijschoolhermen.nl/","catch-all","","hermen","rijschoolhermen.nl","","","","False","true","rijschoolhermen-nl.mail.protection.outlook.com","microsoft","","","","",""
"Rijschool Shami","None","Shami@hotmail.nl","None","catch-all","","shami","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Algemene Rijopleiding P. Groenen","0316 54 18 48","p-groenen@hotmail.nl","None","catch-all","","p-groenen","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Autorijschool Dolf Friesen","0314 36 39 76","dolffriesen@hotmail.nl","http://www.autorijschooldolffriesen.nl/","catch-all","","dolffriesen","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Rijschool Dick Joosten","026 381 84 12","rijschool@dickjoosten.nl","http://www.dickjoosten.nl/","catch-all","","rijschool","dickjoosten.nl","","","","False","true","dickjoosten.nl","","","","","",""
"Rijschool Marcel Stokman","0313473644","m.stokman@hotmail.nl","None","catch-all","","m.stokman","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Verkeersschool Hans Joosten","026 323 60 45","verkeersschool@hansjoosten.nl","http://www.hansjoosten.nl/","catch-all","","verkeersschool","hansjoosten.nl","","","","False","true","mx.sohosted.com","","","","","",""
"ANWB Rijopleiding Almere Gooi en Vechtstreek","035 303 09 03","dvermaazen@anwb-rijopleiding.nl","http://www.anwb.nl/rijopleiding","catch-all","","dvermaazen","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Autorijschool Passie","0368449700","autorijschoolpassie@hotmail.nl","None","catch-all","","autorijschoolpassie","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Rijschool Vermeer B.V.","033 299 00 63","wim@rijschoolvermeer.nl","http://www.rijschoolvermeer.nl/","catch-all","","wim","rijschoolvermeer.nl","","","","False","true","rijschoolvermeer-nl.mail.protection.outlook.com","microsoft","","","","",""
"SRB","033 480 44 01","autorijschool-srb@hotmail.nl","None","catch-all","","autorijschool-srb","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Elgran Logistic Training","0492 26 36 43","factuur@elgran.nl","None","catch-all","","factuur","elgran.nl","","","","False","true","elgran-nl.mail.protection.outlook.com","microsoft","","","","",""
"Rijschool Verstappen t.h.o.d.n. LesGo","06 11 91 80 06","tim.verstappen@lesgo.nl","None","catch-all","","tim.verstappen","lesgo.nl","tim","verstappen","male","False","true","mx1.cloudorb.com","","","","","",""
"A. Kuik h/o V.O.C.E. Coevorden","0524 51 78 22","a.kuik@voce.nl","http://www.rijschoolvoce.nl/","catch-all","","a.kuik","voce.nl","","","","False","true","spamrelay.zxcs.nl","","","","","",""
"Autorijschool Verweij t.h.o.d.n. LesGo","0166 610 696","jan.verweij@lesgo.nl","None","catch-all","","jan.verweij","lesgo.nl","jan","verweij","female","False","true","mx1.cloudorb.com","","","","","",""
"Kontrast Verkeersopleidingen","06 14 60 06 58","kontrast@in1keer.nl","http://www.in1keer.nl/","catch-all","","kontrast","in1keer.nl","","","","False","true","spamrelay.zxcs.nl","","","","","",""
"Rijschool Bastamito","010 4561 093","rijschool@bastamito.nl","None","catch-all","","rijschool","bastamito.nl","","","","False","true","bastamito-nl.mail.protection.outlook.com","microsoft","","","","",""
"Autorijschool Snip","050 579 04 44","groningen@rijschoolsnip.nl","None","catch-all","","groningen","rijschoolsnip.nl","","","","False","true","mail.rijschoolsnip.nl","","","","","",""
"Autorijschool Trijnie","0598 32 44 98","trijnie@autorijschooltrijnie.nl","None","catch-all","","trijnie","autorijschooltrijnie.nl","","","","False","true","mx10.onlinemailscanner.com","","","","","",""
"Autorijschool-Alex","06 29 46 28 48","alexander@autorijschool-alex.nl","https://autorijschool-alex.nl/","catch-all","","alexander","autorijschool-alex.nl","","","","False","true","mx1.mijndomein.nl","","","","","",""
"Richting Rijbewijs Rijopleiding","050 311 48 34","peter@richtingrijbewijs.nl","http://www.richtingrijbewijs.nl/","catch-all","","peter","richtingrijbewijs.nl","","","","False","true","richtingrijbewijs.nl","","","","","",""
"Rijschool Peter Mollema","0595 74 50 05","peter@rijschoolpetermollema.nl","None","catch-all","","peter","rijschoolpetermollema.nl","","","","False","true","spamrelay.zxcs.nl","","","","","",""
"Verkeerseducatie Centrum Groningen t.h.o.d.n. ANWB Rijopleiding Groningen","050 205 31 00","jreilman@anwb-rijopleiding.nl","None","catch-all","","jreilman","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Autorijschool Voordelig Sonja Canton","0475 32 28 72","rijschool@rijschoolvoordelig.nl","http://www.rijschoolvoordelig.nl/","catch-all","","rijschool","rijschoolvoordelig.nl","","","","False","true","rijschoolvoordelig.nl","","","","","",""
"Autorijschool Selçuk","010 480 84 08","selcuk333@hotmail.nl","None","catch-all","","selcuk333","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"ANWB Rijopleiding E&R","030 606 79 54","utrecht@anwb-rijopleiding.nl","None","catch-all","","utrecht","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Cerdic Rijschool","0854017199","cerdic.vankalken@lesgo.nl","None","catch-all","","cerdic.vankalken","lesgo.nl","","","","False","true","mx1.cloudorb.com","","","","","",""
"Verkeersschool Nico van Swam","0487 59 36 23","verkeersschool@nicovanswam.nl","http://www.nicovanswam.nl/","catch-all","","verkeersschool","nicovanswam.nl","","","","False","true","nicovanswam-nl.mail.protection.outlook.com","microsoft","","","","",""
"Rijschool Struijcken","None","jan@struijcken.nl","https://www.rijschoolstruijcken.nl/","catch-all","","jan","struijcken.nl","","","","False","true","spamrelay.zxcs.nl","","","","","",""
"Roger Frissen Verkeersopleidingen","043 458 28 12","roger@frissen.info","http://www.frissen.info/","catch-all","","roger","frissen.info","","","","False","true","frissen-info.mail.protection.outlook.com","microsoft","","","","",""
"Auto- en Motorrijschool De Meern G. van Kooten","030 666 17 97","ge@rijschooldemeern.nl","http://www.rijschooldemeern.nl/","catch-all","","ge","rijschooldemeern.nl","","","","False","true","mx1.mijndomein.nl","","","","","",""
"Autorijschool Roady","None","autorijschool@roady.nl","http://www.roady.nl/","catch-all","","autorijschool","roady.nl","","","","False","true","srv1.flexfilter.nl","","","","","",""
"ANWB Rijopleiding Zwolle","038 303 01 46","zwolle@anwb-rijopleiding.nl","http://www.anwb.nl/auto/rijbewijs","catch-all","","zwolle","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Rijschool Jean Heijink","0481 43 41 66","jean.heijink@lesgo.nl","None","catch-all","","jean.heijink","lesgo.nl","jean","heijink","female","False","true","mx1.cloudorb.com","","","","","",""
"Autorijschool Thea Zwaan","None","autorijschool@theazwaan.nl","None","catch-all","","autorijschool","theazwaan.nl","","","","False","false","","","","","","",""
"ANWB Rijopleiding Ronald","078 615 8147","papendrecht@anwb-rijopleiding.nl","None","catch-all","","papendrecht","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Rijschool Dielessen","078 751 66 50","edwin@rijschooldielessen.nl","None","catch-all","","edwin","rijschooldielessen.nl","","","","False","true","spamrelay.zxcs.nl","","","","","",""
"Verkeersschool De Zwaan","010 492 19 34","dezwaan@verkeersschooldezwaan.nl","None","catch-all","","dezwaan","verkeersschooldezwaan.nl","","","","False","true","verkeersschooldezwaan-nl.mail.protection.outlook.com","microsoft","","","","",""
"Autorijschool Feenstra","0519321517","villafeenstra@knid.nl","http://www.rijschoolfeenstra.nl/","catch-all","","villafeenstra","knid.nl","","","","False","true","mx2.ddfr.nl","","","","","",""
"Peet Kuiper","0519 24 15 40","p.kuiper@knid.nl","None","catch-all","","p.kuiper","knid.nl","","","","False","true","mx2.ddfr.nl","","","365+","1","",""
"Yme Sijtsma","0511 42 57 05","y.sijtsma@knid.nl","None","catch-all","","y.sijtsma","knid.nl","","","","False","true","mx1.ddfr.nl","","","","","",""
"Rijschool V.V.Z.","None","infovvz@rijschoolvvz.nl","http://www.rijschoolvvz.nl/","catch-all","","infovvz","rijschoolvvz.nl","","","","False","true","mx1.mijndomein.nl","","","","","",""
"Van der Ven Rijopleidingen","073 599 25 35","marco@vandervenrijopleidingen.nl","None","catch-all","","marco","vandervenrijopleidingen.nl","","","","False","true","mail.vandervenrijopleidingen.nl","","","","","",""
"Van Gerwen Verkeersschool B.V.","None","verkeersschool@vangerwen.nl","http://www.vangerwen.nl/","catch-all","","verkeersschool","vangerwen.nl","","","","False","true","d321588.a.ess.de.barracudanetworks.com","barracuda","","","","",""
"Algemene Rijopleiding Deventer/Apeldoorn B.V.","0570 61 83 02","deventer@anwb-rijopleiding.nl","http://www.wesseldijk.nl/","catch-all","","deventer","anwb-rijopleiding.nl","","","","False","true","mail.anwb-rijopleiding.nl","","","","","",""
"Rijschool Micky T.H.O.D.N. LesGO","08504884444","michael.johnk@lesgo.nl","None","catch-all","","michael.johnk","lesgo.nl","michael","johnk","male","False","true","mx1.cloudorb.com","","","","","",""
"Autorijschool Arink","0623925797","stefan@autorijschoolarink.nl","http://www.autorijschoolarink.nl/","catch-all","","stefan","autorijschoolarink.nl","","","","False","true","mail.autorijschoolarink.nl","","","","","",""
"Auto- en Motorrijschool Kasius","015 261 81 79","auto@rijschoolkasius.nl","http://www.rijschoolkasius.nl/","catch-all","","auto","rijschoolkasius.nl","","","","False","true","mx.transip.email","","","","","",""
"Autorijschool Snel Vooruit","06 41 95 33 31","h.chiragali@rijschoolsnelvooruit.nl","http://www.rijschoolsnelvooruit.nl/","catch-all","","h.chiragali","rijschoolsnelvooruit.nl","","","","False","false","","","","","","",""
"Wortelboer Rijopleidingen","0174 62 16 24","rijschool@wortelboer.com","http://www.wortelboer.com/","catch-all","","rijschool","wortelboer.com","","","","False","true","mx.transip.email","","","","","",""
"Erik Hartkamp","0342 40 12 55","erik@erikhartkamp.nl","http://www.autorijschoolerikhartkamp.nl/","catch-all","","erik","erikhartkamp.nl","","","","False","true","primary.mail.pcextreme.nl","","","","","",""
"Rijschool Nederland","06 26 93 52 00","rijschoolned@hotmail.nl","http://www.rijschoolned.nl/","catch-all","","rijschoolned","hotmail.nl","","","","True","true","hotmail-nl.b-v1.mx.microsoft","","","","","",""
"Snell.nl","026 361 56 15","ronvanmaaren@vanmaaren.nl","http://www.snell.nl/","catch-all","","ronvanmaaren","vanmaaren.nl","","","","False","true","primary.yourfilter.nl","","","","","",""
"Rijschool Preeker B.V.","0299 42 58 48","purmerend@rijschoolpreeker.nl","None","catch-all","","purmerend","rijschoolpreeker.nl","","","","False","true","spamrelay.zxcs.nl","","","","","",""
