Campaign Name,Email,Email Provider,Lead Status,Verification Status,Interest Status,Last contacted from,phone,website,lastName,firstName,companyName,personalization,email,campaign,jobTitle,linkedIn,location,PhoneNumber,companyDomain,Telefoonnummer
"RijFlow App NL",info@rijschooldylano.nl,Other,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,http://www.rijschooldylano.nl/,,,Autorijschool Dylano,,info@rijschooldylano.nl,,,,,,,0786455837
"RijFlow App NL",youssef_ben5@hotmail.com,Microsoft,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,None,,,Rijschool Benzian,,youssef_ben5@hotmail.com,,,,,,,020 610 46 52
"RijFlow App NL",p.ten.have@hetnet.nl,Other,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,None,,,Auto en motorrijschool ten Have Doetinchem,,p.ten.have@hetnet.nl,,,,,,,031 464 34 09
"RijFlow App NL",info@autorijschool-helmig.nl,Other,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,http://www.autorijschool-helmig.nl/,,,Autorijschool Helmig,,info@autorijschool-helmig.nl,,,,,,,06 53 38 13 47
"RijFlow App NL",baas64_@hotmail.com,Microsoft,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,None,,,Autorijschool Top Licence,,baas64_@hotmail.com,,,,,,,036 834 39 04
"RijFlow App NL",elpuma0077@live.nl,Microsoft,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,None,,,M.J. Martis Rijschool,,elpuma0077@live.nl,,,,,,,None
"RijFlow App NL",info@autorijschool-kani.nl,Not Found,Bounced,,Lead,howard@decanexusorbit.org,,None,,,Rijschool Dichteren,,info@autorijschool-kani.nl,,,,,,,0314 78 54 83
"RijFlow App NL",info@edwinrutgers.nl,Other,Completed | Contacted,,Lead,austin@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,Rijopleiding Edwin Rutgers,,info@edwinrutgers.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",amsterdam@donopleidingen.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,DON Opleidingen Amsterdam,,amsterdam@donopleidingen.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",shami@hotmail.nl,Microsoft,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,None,,,Rijschool Shami,,shami@hotmail.nl,,,,,,,None
"RijFlow App NL",info@rijschoolaida.nl,Other,Completed | Contacted,Verified,Lead,ellie@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool "AIDA",,info@rijschoolaida.nl,,,,,(020) 363 71 86,,
"RijFlow App NL",ararijschool@live.nl,Microsoft,Completed | Contacted,Verified,Lead,ethan@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,ArA Rijschool,,ararijschool@live.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",info@rijschoolforyou.nl,Other,Completed | Reply received,Verified,Lead,hannah@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,Rijschool For You,,info@rijschoolforyou.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",f.nijland@hetnet.nl,Other,Completed | Contacted,Verified,Lead,ellie@decanexusorbit.org,,None,,,AGJ Nijland,,f.nijland@hetnet.nl,,,,,,,0546 86 57 96
"RijFlow App NL",info@verkeersschoolsens.nl,Other,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,http://www.verkeersschoolsens.nl/,,,Verkeersschool Sens,,info@verkeersschoolsens.nl,,,,,,,646917711
"RijFlow App NL",d.tewarie@live.nl,Microsoft,Completed | Contacted,Verified,Lead,ellie@decanexusorbit.org,,None,,,Enotive,,d.tewarie@live.nl,,,,,,,036 537 67 89
"RijFlow App NL",maharkan01@hotmail.com,Microsoft,Completed | Contacted,Verified,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool Jack,,maharkan01@hotmail.com,,,,,,,053 432 05 89
"RijFlow App NL",rijschoolmaja@hetnet.nl,Other,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,None,,,Rijschool Maja Zmzm,,rijschoolmaja@hetnet.nl,,,,,,,020 470 22 88
"RijFlow App NL",s.ramdhan@hotmail.com,Microsoft,Completed | Contacted,Verified,Lead,ellie@decanexusorbit.org,,None,,,Flevo Drive,,s.ramdhan@hotmail.com,,,,,,,036 523 00 72
"RijFlow App NL",info@richardkaya.nl,Other,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,http://www.richardkaya.nl/,,,Verkeersschool Richard Kaya,,info@richardkaya.nl,,,,,,,0314 35 97 59
"RijFlow App NL",info@commandeurs.nl,Other,Completed | Contacted,Verified,Lead,howard@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool De Commandeurs,,info@commandeurs.nl,,,,,(0251) 24 62 05,,
"RijFlow App NL",info@lima-amsterdam.nl,Google,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,None,,,International Driving School LIMA Amsterdam,,info@lima-amsterdam.nl,,,,,,,None
"RijFlow App NL",info@rijbewijscompany.nl,Other,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,http://www.rijbewijscompany.nl/,,,Rijbewijs Company,,info@rijbewijscompany.nl,,,,,,,06 55 70 55 30
"RijFlow App NL",info@dicxrijschool.nl,Other,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,Dicx Auto- & Motorrijschool,,info@dicxrijschool.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@rijschooljawa.nl,Other,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,http://www.rijschooljawa.nl/,,,Autorijschool Jawa,,info@rijschooljawa.nl,,,,,,,035 601 46 21
"RijFlow App NL",frankgeerling@gmail.com,Google,Completed | Contacted,Verified,Lead,jeremy@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Rijschool Frank Geerling,,frankgeerling@gmail.com,,,,,06 19 53 89 66,,
"RijFlow App NL",info@rijbewijssnel.nl,Other,Completed | Contacted,Verified,Lead,john@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,RijbewijsSnel.nl,,info@rijbewijssnel.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",rijopleidingen@kemp.eu,Microsoft,Completed | Contacted,Verified,Lead,howard@decanexusorbit.org,,http://www.kemp.eu/,,,KEMP Rijopleidingen B.V.,,rijopleidingen@kemp.eu,,,,,,,036 538 44 42
"RijFlow App NL",info@rijschoolmoen.nl,Other,Completed | Contacted,Verified,Lead,ellie@decanexusorbit.org,,http://www.rijschoolmoen.nl/,,,Rijschool Moen,,info@rijschoolmoen.nl,,,,,,,None
"RijFlow App NL",leffert@freeler.nl,Other,Completed | Contacted,Verified,Lead,hannah@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,'t Gerij,,leffert@freeler.nl,,,,,(0575) 56 50 42,,
"RijFlow App NL",khaled.allam@hotmail.com,Microsoft,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,None,,,Rijschool BABA Allam,,khaled.allam@hotmail.com,,,,,,,020 637 45 52
"RijFlow App NL",leendertgoedegebuure@gmail.com,Google,Completed | Contacted,Verified,Lead,charles@decanexusorbit.org,,http://www.autorijschoolgoedegebuure.nl/,,,Autorijschool Leendert Goedegebuure,,leendertgoedegebuure@gmail.com,,,,,,,06 51 24 95 15
"RijFlow App NL",rijschoolamrit@live.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.amrit.nl/,,,Autorijschool Amrit,,rijschoolamrit@live.nl,,,,,,,020 615 39 02
"RijFlow App NL",mustafa73@live.nl,Microsoft,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Verkeersschool M&M,,mustafa73@live.nl,,,,,,,020 614 69 60
"RijFlow App NL",hello@rijskula.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,https://rijskula.nl/,,,Rijskula,,hello@rijskula.nl,,,,,,,088 877 6655
"RijFlow App NL",info@rijschooldinie.nl,Other,Completed | Contacted,,Lead,john@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,Rijschool Dinie,,info@rijschooldinie.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@rijschooldennis.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,Rijschool "Dennis",,info@rijschooldennis.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@theoriecentrumhuizen.nl,Other,Bounced,,Lead,howard@decanexusorbit.org,,http://www.theoriecentrumhuizen.nl/,,,Verkeersopleidingen Chris van der Poel,,info@theoriecentrumhuizen.nl,,,,,,,06 41 61 55 96
"RijFlow App NL",info@rijschoolovertoom.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.rijschoolovertoom.nl/,,,Rijschool Overtoom B.V.,,info@rijschoolovertoom.nl,,,,,,,020 683 04 19
"RijFlow App NL",dolffriesen@hotmail.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.autorijschooldolffriesen.nl/,,,Autorijschool Dolf Friesen,,dolffriesen@hotmail.nl,,,,,,,0314 36 39 76
"RijFlow App NL",renes.autorijschool@planet.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,None,,,Renes,,renes.autorijschool@planet.nl,,,,,,,020 693 96 24
"RijFlow App NL",gvg1@xs4all.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.autorijschoolallround.nl/,,,All-Round Auto/Motorrijschool,,gvg1@xs4all.nl,,,,,,,035 694 19 04
"RijFlow App NL",info@rijschool-quality.nl,Not Found,Bounced,,Lead,howard@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Auto- en motorrijschool Quality,,info@rijschool-quality.nl,,,,,(072) 540 13 45,,
"RijFlow App NL",g.tenbrinke@zonnet.nl,Other,Bounced,,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool Ten Brinke,,g.tenbrinke@zonnet.nl,,,,,,,0523 23 20 04
"RijFlow App NL",info@top-drive.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Top-Drive,,info@top-drive.nl,,,,,,,085 064 78 68
"RijFlow App NL",info@rijschoolcaland.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.rijschoolcaland.nl/,,,Auto- en Motorrijschool Caland,,info@rijschoolcaland.nl,,,,,,,020 785 5743
"RijFlow App NL",r-derksen@hetnet.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Algemene rijopleiding Derksen,,r-derksen@hetnet.nl,,,,,,,314666037
"RijFlow App NL",info@tomdekeizer.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.tomdekeizer.nl/,,,Tom de Keizer,,info@tomdekeizer.nl,,,,,,,075 631 05 00
"RijFlow App NL",verkeersschooledwindekinkelaar@gmail.com,Google,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Edwin de Kinkelaar Verkeersschool,,verkeersschooledwindekinkelaar@gmail.com,,,,,,,0316 22 78 73
"RijFlow App NL",info@rijschoolgreen.nl,Microsoft,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.rijschoolgreen.nl/,,,Rijschool Green,,info@rijschoolgreen.nl,,,,,,,020 345 13 33
"RijFlow App NL",info@rijschoolrainbow.nl,Other,Completed | Contacted,,Lead,jeremy@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool Rainbow,,info@rijschoolrainbow.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@autorijschoolayana.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,https://www.autorijschoolayana.nl/,,,Autorijschool Ayana,,info@autorijschoolayana.nl,,,,,,,None
"RijFlow App NL",info@frankmassop.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,https://frankmassop.nl/,,,Verkeersschool Frank Massop,,info@frankmassop.nl,,,,,,,0543 52 16 09
